player,liam_xwOBA
Aaron Judge,0.481
Juan Soto,0.476
Shohei Ohtani,0.447
Yordan Alvarez,0.423
Kyle Tucker,0.422
Vladimir Guerrero Jr.,0.42
Marcell Ozuna,0.412
Bobby Witt Jr.,0.41
Fernando Tatis Jr.,0.406
Ketel Marte,0.401
Corey Seager,0.396
Brent Rooker,0.389
Kyle Schwarber,0.389
Joc Pederson,0.386
Francisco Lindor,0.386
Gunnar Henderson,0.383
Freddie Freeman,0.38
Jackson Merrill,0.375
William Contreras,0.375
Jurickson Profar,0.375
Salvador Perez,0.372
Carlos Correa,0.37
Bryce Harper,0.369
Austin Riley,0.367
LaMonte Wade Jr.,0.367
Willson Contreras,0.367
Michael Toglia,0.366
Rafael Devers,0.366
Mookie Betts,0.364
Michael Conforto,0.363
Byron Buxton,0.362
Bryan Reynolds,0.362
Spencer Horwitz,0.361
Lars Nootbaar,0.361
Alec Bohm,0.36
Riley Greene,0.36
Christian Walker,0.359
Jordan Westburg,0.358
Jonathan India,0.358
Jorge Soler,0.357
Brandon Lowe,0.356
Giancarlo Stanton,0.356
Trevor Larnach,0.355
Cal Raleigh,0.355
Matt Olson,0.355
Lawrence Butler,0.354
Ian Happ,0.353
Teoscar Hernandez,0.352
Mark Vientos,0.351
Vinnie Pasquantino,0.351
Jesus Sanchez,0.35
Seiya Suzuki,0.35
Taylor Ward,0.35
Pete Alonso,0.35
Willy Adames,0.349
Manny Machado,0.348
Oneil Cruz,0.348
Michael Harris II,0.348
Yandy Diaz,0.347
Austin Wells,0.347
Matt Chapman,0.345
Alec Burleson,0.345
Jake Burger,0.345
Yainer Diaz,0.345
Carlos Santana,0.345
Starling Marte,0.345
Alejandro Kirk,0.344
Heliot Ramos,0.343
Jesse Winker,0.343
Nathaniel Lowe,0.343
Justin Turner,0.342
Steven Kwan,0.342
Josh Naylor,0.34
Ryan Mountcastle,0.339
Brandon Nimmo,0.339
J.T. Realmuto,0.339
Colton Cowser,0.338
Brendan Donovan,0.338
Eugenio Suarez,0.338
Nick Castellanos,0.338
David Fry,0.337
Jarren Duran,0.337
Ryan McMahon,0.337
Anthony Santander,0.337
Jake Cronenworth,0.337
Paul Goldschmidt,0.336
Masataka Yoshida,0.336
Jose Ramirez,0.336
Shea Langeliers,0.335
Wyatt Langford,0.333
Elly De La Cruz,0.333
Luis Arraez,0.333
Wilyer Abreu,0.332
Alex Bregman,0.332
Brenton Doyle,0.332
Luke Raley,0.331
Andrew McCutchen,0.331
Nick Gonzales,0.33
Patrick Bailey,0.33
Andrew Vaughn,0.33
Lourdes Gurriel Jr.,0.329
Mike Tauchman,0.329
MJ Melendez,0.329
Tommy Pham,0.329
Gabriel Moreno,0.328
Willi Castro,0.328
Dansby Swanson,0.328
JJ Bleday,0.328
George Springer,0.328
Jackson Chourio,0.328
Michael Busch,0.327
Will Smith,0.327
Brandon Marsh,0.327
Jose Altuve,0.327
Tyler Stephenson,0.327
Josh Bell,0.327
Christopher Morel,0.326
Andy Pages,0.326
Zach Neto,0.325
Nolan Schanuel,0.325
CJ Abrams,0.324
Gavin Lux,0.324
Randy Arozarena,0.324
Gavin Sheets,0.324
Corbin Carroll,0.324
Michael Massey,0.324
Adley Rutschman,0.323
Colt Keith,0.323
Miguel Amaya,0.321
Trea Turner,0.321
Gleyber Torres,0.32
Spencer Steer,0.32
Lenyn Sosa,0.32
Otto Lopez,0.319
Jose Miranda,0.319
Jon Singleton,0.319
Jo Adell,0.319
Ha-Seong Kim,0.319
Jazz Chisholm Jr.,0.319
J.P. Crawford,0.318
Isaac Paredes,0.318
Nolan Gorman,0.317
Ryan Jeffers,0.317
Will Brennan,0.316
Ty France,0.316
Jorge Polanco,0.316
Jake McCarthy,0.316
Tyrone Taylor,0.315
Marcus Semien,0.315
Bryan De La Cruz,0.314
Nico Hoerner,0.314
Mike Yastrzemski,0.314
Alex Verdugo,0.314
Matt Vierling,0.313
Adolis Garcia,0.313
Rowdy Tellez,0.313
Rhys Hoskins,0.312
Joey Ortiz,0.312
Jarred Kelenic,0.311
Ozzie Albies,0.311
Jeremy Pena,0.311
Gio Urshela,0.311
Xander Bogaerts,0.311
Maikel Garcia,0.31
Jake Meyers,0.31
Lane Thomas,0.31
Nolan Arenado,0.309
Brice Turang,0.308
Josh Rojas,0.308
Geraldo Perdomo,0.308
Andrew Benintendi,0.308
Jake Bauers,0.308
Tyler Freeman,0.308
Leody Taveras,0.307
Cody Bellinger,0.307
Max Kepler,0.306
Brendan Rodgers,0.306
Seth Brown,0.305
Bryson Stott,0.304
Harrison Bader,0.304
Max Schuemann,0.303
Dylan Moore,0.302
Hunter Renfroe,0.301
Elias Diaz,0.3
Jacob Young,0.3
Francisco Alvarez,0.3
TJ Friedl,0.3
Davis Schneider,0.3
Kyle Isbel,0.299
Tyler Fitzgerald,0.299
Andres Gimenez,0.299
Jeff McNeil,0.299
Abraham Toro,0.298
Jared Triolo,0.298
Jose Siri,0.297
Mark Canha,0.297
Wenceel Perez,0.297
Cedric Mullins,0.296
Masyn Winn,0.296
Mitch Garver,0.296
Paul DeJong,0.295
Jeimer Candelario,0.295
Freddy Fermin,0.295
Josh Lowe,0.294
Mickey Moniak,0.293
Santiago Espinal,0.293
Ernie Clement,0.292
Connor Wong,0.292
Mauricio Dubon,0.291
Jonah Heim,0.291
Brayan Rocchio,0.291
Pete Crow-Armstrong,0.29
Isiah Kiner-Falefa,0.29
Luis Robert Jr.,0.29
Spencer Torkelson,0.289
Ezequiel Tovar,0.289
Jake Fraley,0.289
Sal Frelick,0.289
Keibert Ruiz,0.288
Enrique Hernandez,0.288
Ceddanne Rafaela,0.283
Jose Caballero,0.281
Connor Joe,0.281
Anthony Volpe,0.28
Jonny DeLuca,0.279
Zack Gelof,0.279
Brandon Drury,0.278
Amed Rosario,0.278
Nicky Lopez,0.276
Orlando Arcia,0.275
Thairo Estrada,0.273
Blake Perkins,0.273
Will Benson,0.271
Korey Lee,0.269
Bo Naylor,0.269
Daulton Varsho,0.267
Johan Rojas,0.256
